name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano da Galileia,MILK_BANK,Av. Samaúma,630,Monte das Oliveiras,Manaus,AM,69093-132,92-3643-5523,,,
Banco de Leite Humano Fesinha Anzoategui,MILK_BANK,Av. Duque de Caxias,1142,Praça 14 de Janeiro,Manaus,AM,69020-141,92-3182-4534,,,
Banco de Leite Humano da Maternidade de Referência Ana Braga,MILK_BANK,Alameda Cosme Ferreira,S/N,São José,Manaus,AM,69083-000,92-9504-8734,,,
Dona Nely Lima do Nascimento,COLLECTION_POINT,Estrada do Bexiga,02,Fonte Boa,Tefé,AM,69553-150,97-3343-3515,,,
Maria Izabel Pessoa Figueiredo / Hospital Padre Colombo,COLLECTION_POINT,Rua Oneldes Martins,3515,São José Operário,Parintins,AM,69152-240,92-3533-2170,,,
PCLH - Cantinho do Leite Maria Adriana Moreira - Hospital Vó Mundoca,COLLECTION_POINT,Avenida Amazonas,,Cristo Rei,Borba,AM,69200-000,92-3512-1104,,,
PCLH - Hospital Adventista de Manaus,COLLECTION_POINT,Av. Governador Danilo Areosa,139,Distrito Industrial,Manaus,AM,69075-351,92-2123-1313,,,
PCLH - Hospital Samel Assistência Médica,COLLECTION_POINT,Av. Joaquim Nabuco,1755,Centro,Manaus,AM,69020-030,92-2129-2273,,,
PCLH - Instituto da Mulher Dona Lindu,COLLECTION_POINT,Avenida Mário Ypiranga Monteiro,1581,Adrianópolis,Manaus,AM,69057-002,92-3643-8170,,,
PCLH - Maternidade Alvorada,COLLECTION_POINT,Rua Léa Alencar,90,Alvorada I,Manaus,AM,69042-150,92-3659-2800,,,
PCLH - Maternidade Azilda Marreiro,COLLECTION_POINT,Av. Samaúma,630,Monte das Oliveiras,Manaus,AM,69093-132,92-3646-5523,,,
PCLH - Maternidade Balbina Mestrinho,COLLECTION_POINT,Rua Duque de Caxias,1142,Praça 14,Manaus,AM,69020-140,92-3182-4547,,,
PCLH - Maternidade Nazira Daou,COLLECTION_POINT,Av. Camapuã,108,Cidade Nova,Manaus,AM,69097-720,92-3649-2650,,,
PCLH - Posto de Coleta de Leite Humano Maternidade Ana Braga,COLLECTION_POINT,Alameda Cosme Ferreira,S/N,São José,Manaus,AM,69083-000,92-3647-4235,,,
PCLH - Sophia Rocha Rodrigues - HUFM,COLLECTION_POINT,Rua Camapuã,108,Cidade Nova II,Manaus,AM,69097-720,92-3649-2750,,,
PCLH - UBS Armando Mendes,COLLECTION_POINT,Rua 5,S/N,Manoa,Manaus,AM,69090-890,92-3581-2273,,,
PCLH Hospital Regional Dr. Hamilton Cidade,COLLECTION_POINT,Av. Amazonas,191,Centro,Manicoré,AM,69280-000,,,,
Posto de Coleta de Leite Humano da Maternidade Chapot Prevost,COLLECTION_POINT,Estrada do Aleixo km 16,190,Colônia Antônio Aleixo,Manaus,AM,69020-282,92-3616-3400,,,
Posto de Coleta de Leite Humano da Maternidade Moura Tapajós,COLLECTION_POINT,Av. Brasil,1335,Compensa I,Manaus,AM,69036-110,92-8842-8514,,,
