name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Aida Santos e Silva,COLLECTION_POINT,Av. Trajano de Medeiros,813,Vicente Pinzón,Fortaleza,CE,60132-080,85-98686-0880,,,
Hospital Distrital Gonzaga Mota José Walter,COLLECTION_POINT,Avenida D,440,José Walter,Fortaleza,CE,60750-030,85-3452-9399,,,
Hospital José Maria Philomeno Gomes,COLLECTION_POINT,Rua Joaquim Nogueira Lopes,463,Cidade de Pacajus,Pacajus,CE,62870-000,,,,
PCLH - Hospital Distrital Gonzaga Mota Messejana,COLLECTION_POINT,Av. Washington Soares,7700,Messejana,Fortaleza,CE,60844-150,,,,
PCLH da Sociedade Hospitalar São Francisco de Canindé,COLLECTION_POINT,Praça Frei Aurélio,1397,Centro,Canindé,CE,62700-000,85-3343-2110,,,
PCLH do Hospital e Maternidade do Hapvida Eugênia Pinheiro,COLLECTION_POINT,Rua Heráclito Graça,500,Centro,Fortaleza,CE,60110-000,85-3455-5728,,,
PCLH do Hospital e Maternidade José Martiniano de Alencar,COLLECTION_POINT,Rua Princesa Isabel,1526,Centro,Fortaleza,CE,60015-061,85-3101-4976,,,
PCLH do Hospital e Maternidade José Pinto do Carmo (Baturité),COLLECTION_POINT,Rua Nossa Senhora de Palma,1264,Centro,Baturité,CE,62760-000,85-3347-1124,,,
PCLH do Hospital e Maternidade São Vicente de Paulo São Camilo - Itapipoca,COLLECTION_POINT,Rua Urbano Teixeira de Menezes,01,Fazendinha,Itapipoca,CE,62500-000,88-3631-5129,,,
PCLH do Hospital e Maternidade Zilda Arns,COLLECTION_POINT,Av. Lineu Machado,S/N,Jóquei Clube,Fortaleza,CE,60510-128,85-3233-3688,,,
PCLH do Hospital Geral Dr. Waldemar Alcântara,COLLECTION_POINT,Rua Pergentino Maia,1559,Messejana,Fortaleza,CE,60840-040,85-3226-8367,,,
PCLH do Hospital Maternidade Venâncio Raimundo Venâncio de Sousa,COLLECTION_POINT,Rua Maria Luiza Noronha,45,Zumbi,Horizonte,CE,62880-000,85-3336-1544,,,
PCLH Hospital Distrital Gonzaga Mota Barra do Ceará,COLLECTION_POINT,Av. Dom Aluísio Lorscheider,1130,Barra do Ceará,Fortaleza,CE,60347-780,85-3452-2409,,,
