name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano do Hospital Regional do Gama,MILK_BANK,Área Especial - Setor Central,01,Gama,Brasília,DF,72405-901,61-9821-0211,,,
Banco de Leite Humano do Hospital Regional de Ceilândia,MILK_BANK,Área Especial - QNM 27,01,Ceilândia Sul,Brasília,DF,72215-170,61-2000-2017,,,
Banco de Leite Humano Maternidade Brasília,MILK_BANK,QMSW 04 Lote 1,,Sudoeste,Brasília,DF,70680-400,61-2196-5318,,,
Banco de Leite Humano do Hospital Regional de Planaltina,MILK_BANK,Setor Hospitalar - Q 1,,Planaltina,Brasília,DF,73310-000,61-3449-5784,,,
Banco de Leite Humano do Hospital Regional de Sobradinho,MILK_BANK,Quadra 12 - Área Especial,S/N,Sobradinho,Brasília,DF,73010-120,61-3449-5591,,,
Banco de Leite Humano do Hospital Santa Lúcia,MILK_BANK,SHLS,716,Asa Sul,Brasília,DF,70390-700,61-3445-0319,,,
Banco de Leite Humano do Hospital Anchieta,MILK_BANK,Área Especial 8/9/10 - Setor C Norte,S/N,Taguatinga Norte,Brasília,DF,72115-700,61-3353-9136,,,
Banco de Leite Humano do Hospital Materno Infantil de Brasília,MILK_BANK,Avenida L2 Sul - Quadra 608 - Módulo A,,Asa Sul,Brasília,DF,70086-900,61-2017-1608,,,
Banco de Leite Humano do Hospital Regional da Asa Norte,MILK_BANK,SMHN Quadra 2,S/N,Asa Norte,Brasília,DF,70710-100,61-3449-4698,,,
Banco de Leite Humano do Hospital Regional de Brazlândia,MILK_BANK,Área Especial - Setor Tradicional,06,Brazlândia,Brasília,DF,72720-901,61-3449-6358,,,
Banco de Leite Humano do Hospital Regional de Santa Maria,MILK_BANK,Avenida dos Alagados Quadra AC,102,Santa Maria,Brasília,DF,72502-100,61-4042-7770,,,
Banco de Leite Humano do Hospital Regional do Paranoá,MILK_BANK,Quadra 02 Conjunto K Lote 01 - Área Especial - Setor Hospitalar,01,Paranoá,Brasília,DF,71571-510,61-3449-5266,,,
Banco de Leite Humano e Núcleo de Incentivo ao Aleitamento Materno - HUB,MILK_BANK,L2 Norte - SGAN,604,Asa Norte,Brasília,DF,70840-901,61-2028-5391,,,
Banco de Leite Humano do Hospital Regional de Taguatinga,MILK_BANK,Setor C - Área Especial Norte,24,Taguatinga,Brasília,DF,72115-902,61-3449-6617,,,
PCLH - Policlínica Riacho Fundo 1,COLLECTION_POINT,QS 16 Área Especial 14,,Riacho Fundo 1,Brasília,DF,71825-600,61-98184-2098,,,
PCLH - Centro de Parto Normal São Sebastião,COLLECTION_POINT,Av. Comercial,1661,São Sebastião,Brasília,DF,71691-082,61-9916-4333,,,
PCLH do Hospital Santa Helena,COLLECTION_POINT,SHLN - Conjunto D,516,Asa Norte,Brasília,DF,73350-164,61-3215-0114,,,
Posto de Coleta de Leite Humano do Hospital Santa Marta,COLLECTION_POINT,Setor E - Área Especial,1 e 17,Taguatinga Sul,Brasília,DF,72025-110,61-2104-2693,,,
Posto de Coleta do Hospital Regional de Samambaia - HRSAM,COLLECTION_POINT,QS 614 Conj C Lote 1 e 2 - 2º andar,,Samambaia,Brasília,DF,72322-583,61-2017-2202,,,
Posto de Coleta do Hospital Santa Luzia,COLLECTION_POINT,SHLS 716 Conjunto E Lote 5,5,Asa Sul,Brasília,DF,70390-903,61-3445-6329,,,
