name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano da Santa Casa de Misericórdia de Passos,MILK_BANK,Rua Santa Casa,164,Santa Casa,Passos,MG,37904-020,35-3529-1368,,,
Banco de Leite Humano de Juiz de Fora,MILK_BANK,Rua São Sebastião,772,Centro,Juiz de Fora,MG,36010-041,32-3690-7436,,,
Banco de Leite Humano de Uberaba - CAISM,MILK_BANK,Avenida Leopoldino de Oliveira,1160,Parque do Mirante,Uberaba,MG,38100-000,34-3332-0559,,,
Banco de Leite Humano de Varginha,MILK_BANK,Avenida Rui Barbosa,158,Centro,Varginha,MG,37002-140,35-3690-2001,,,
Banco de Leite Humano do Hospital Aroldo Tourinho,MILK_BANK,Avenida João XXIII,1207,Edgar Pereira,Montes Claros,MG,39400-162,38-2101-4034,,,
Banco de Leite Humano do Hospital das Clínicas da UFMG,MILK_BANK,Avenida Alfredo Balena,110,Centro,Belo Horizonte,MG,30130-100,31-3307-9350,,,
Banco de Leite Humano do Hospital de Clínicas de Uberlândia,MILK_BANK,Avenida Maranhão,1720,Umuarama,Uberlândia,MG,38405-318,34-3218-2666,,,
Banco de Leite Humano do Hospital Municipal Senhora Santana,MILK_BANK,Av. Bias Fortes,,Dona Joaquina,Brasília de Minas,MG,39330-000,38-3231-1299,,,
Banco de Leite Humano do Hospital Santa Isabel,MILK_BANK,Rua Frei Cornélio,200,Laurindo de Castro,Ubá,MG,36500-000,32-3539-1167,,,
Banco de Leite Humano do Hospital São Sebastião,MILK_BANK,Rua Tenente Kummel,36,Centro,Viçosa,MG,36570-031,31-3899-8350,,,
Banco de Leite Humano Hospital Sofia Feldman,MILK_BANK,Rua José Condé,71,Tupi,Belo Horizonte,MG,31844-340,31-3433-7496,,,
Banco de Leite Humano Maria Augusta Resende Barbosa,MILK_BANK,Av. Edmeia Matos Lazzarotti,3800,Ingá,Betim,MG,32600-412,31-3539-8601,,,
Banco de Leite Humano Miguel Silva Reis,MILK_BANK,Rua Teófilo Otoni,36,Centro,Governador Valadares,MG,35020-600,33-3035-0658,,,
Banco de Leite Humano da Maternidade Odete Valadares,MILK_BANK,Av. do Contorno,9494,Prado,Belo Horizonte,MG,30110-130,31-3298-6008,,,
