name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano Dr. Virgílio Brasileiro,MILK_BANK,Vila Nova da Rainha,147,Centro,Campina Grande,PB,58600-220,83-98658-9124,,,
Banco de Leite Humano Dra. Vilani Kehrle,MILK_BANK,Rua Elias Asfora,S/N,Jardim Guanabara,Patos,PB,58701-300,83-3415-7600,,,
Banco de Leite Humano Dra. Zilda Arns,MILK_BANK,Avenida Coremas,865,Jaguaribe,João Pessoa,PB,58013-430,83-3214-1390,,,
Banco de Leite Humano Josefa Garcia Rolim,MILK_BANK,Rua Tabelião Antônio Holanda,S/N,Centro,Cajazeiras,PB,58900-000,83-3531-3563,,,
Banco de Leite Humano Merijane Claudino da Silva,MILK_BANK,Rua Prefeito João Pimentel Filho,447,Centro,Guarabira,PB,58200-000,83-3271-2083,,,
Banco de Leite Humano Anita Cabral,MILK_BANK,Av. Cruz das Armas,,Cruz das Armas,João Pessoa,PB,58085-000,83-3218-4957,,,"Em frente à Caixa Econômica Federal, vizinho à USF Cruz das Armas."
PCLH do Hospital Clinepa,COLLECTION_POINT,Av. Dom Moisés Coelho,245,Torre,João Pessoa,PB,58040-760,83-3022-7200,,,
PCLH - Hospital do Servidor General Edson Ramalho,COLLECTION_POINT,Rua Eugênio de Lucena Neiva,S/N,Jardim 13 de Maio,João Pessoa,PB,,83-3211-7176,,,
PCLH - Dr. Oscar Sobral Neto,COLLECTION_POINT,Rua Antônia Maria de Jesus,,Centro,São José de Piranhas,PB,58900-000,83-99313-6989,,,
PCLH - Hospital da Unimed João Pessoa,COLLECTION_POINT,Av. Ministro José Américo de Almeida,1450,Torre,João Pessoa,PB,58040-300,83-2106-0396,,,
PCLH - Hospital Geral de Mamanguape,COLLECTION_POINT,Rua Valfredo de Almeida e Silva,S/N,Planalto,Mamanguape,PB,58280-000,83-3292-9056,,,
PCLH - Hospital Universitário Lauro Wanderley,COLLECTION_POINT,Rua Tab. Stanislau Eloy - Campus I,585,Conjunto Castelo Branco,João Pessoa,PB,58050-585,83-3206-0722,,,
PCLH - ISEA,COLLECTION_POINT,Vila Nova da Rainha,147,Centro,Campina Grande,PB,58600-220,83-3310-6185,,,
PCLH - Maternidade Frei Damião,COLLECTION_POINT,Av. João Machado,212,Centro,João Pessoa,PB,58013-520,83-3612-2820,,,
PCLH - Noemi de Holanda Mariz,COLLECTION_POINT,Rua José Facundo de Liera,433,Gato Preto,Sousa,PB,58802-180,83-3522-2774,,,
PCLH de Monteiro - Janielma Bezerra de Sena Campos,COLLECTION_POINT,Rua Epaminondas Azevedo,3,Centro,Monteiro,PB,58500-000,83-3351-2204,,,
PCLH do Hospital da CLIPSI - Geminiano Crispim de Farias,COLLECTION_POINT,Treze de Maio,366,Centro,Campina Grande,PB,58101-070,83-2102-3100,,,
PCLH do Hospital da Unimed Campina Grande,COLLECTION_POINT,Rua Denize Alves de Medeiros,410,Sandra Cavalcanti,Campina Grande,PB,58441-074,,,,
PCLH do Hospital Help - Mamãe eu Quero,COLLECTION_POINT,Rua Heronildes da Costa Cirne,250,Serrotão,Campina Grande,PB,58434-505,,,,
PCLH do Hospital Materno Infantil João Marsicano,COLLECTION_POINT,Rua Flávio Maroja,44,Centro,Bayeux,PB,58110-300,83-2177-7148,,,
PCLH Hospital Nossa Senhora das Neves,COLLECTION_POINT,Rua Etelvina Macedo de Mendonça,531,Torre,João Pessoa,PB,58040-530,83-3565-9000,,,
PCLH do Hospital Hapvida,COLLECTION_POINT,Av. Júlia Freire,1058,Expedicionário,João Pessoa,PB,58040-043,83-3255-8900,,,
Posto de Coleta e Porcionamento Maternidade Peregrino Filho,COLLECTION_POINT,Rua Elias Asfora,S/N,Jardim Guanabara,Patos,PB,58701-300,83-3421-5050,,,
Posto de Coleta Berenice Alencar de Sousa,COLLECTION_POINT,Rua Coronel João Leite,294,Centro,Pombal,PB,58840-000,83-3431-2149,,,
Posto de Coleta de Itaporanga,COLLECTION_POINT,Avenida Irineu Rodrigues,183,Centro,Itaporanga,PB,58780-000,83-3451-2297,,,
Posto de Coleta do Hospital de Solânea,COLLECTION_POINT,Rua Professora Alaíde Silva,131,Centro,Solânea,PB,58225-000,,,,
Posto de Coleta do Hospital Regional de Guarabira,COLLECTION_POINT,Rua Prefeito João Pimentel Filho,447,Centro,Guarabira,PB,58200-000,83-3271-4933,,,
Posto de Coleta do Instituto Cândida Vargas,COLLECTION_POINT,Avenida Coremas,865,Jaguaribe,João Pessoa,PB,58013-430,83-3214-1390,,,
Posto de Coleta Sinhá Carneiro,COLLECTION_POINT,Rua Bonifácio Nóbrega,775,São José,Santa Luzia,PB,58600-000,83-3461-2961,,,
