name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Incentivo e Apoio ao Aleitamento Materno - BIAMA,MILK_BANK,Avenida Joaquim Nabuco,,Centro,Petrolina,PE,56304-900,87-3202-7000,,,
Banco de Leite Humano Amenaide Emereciano Teixeira,MILK_BANK,Avenida Visconde de Mamanguape,S/N,Encruzilhada,Recife,PE,52030-010,81-3182-7720,,,
Banco de Leite Humano CIAMA - HMR,MILK_BANK,Rodovia BR-101 Sul,485,Curado,Recife,PE,50780-627,81-2011-0100,,,
Banco de Leite Humano da Maternidade Professor Bandeira Filho,MILK_BANK,Rua Londrina,,Afogados,Recife,PE,50770-400,81-3355-2235,,,
Banco de Leite Humano do Hospital das Clínicas de Pernambuco,MILK_BANK,Avenida Professor Moraes Rego,1235,Cidade Universitária,Recife,PE,50740-900,81-2126-3831,,,
Banco de Leite Humano do Real Hospital Português,MILK_BANK,Av. Governador Agamenon Magalhães,4760,Paissandu,Recife,PE,52010-040,81-3416-1069,,,
Banco de Leite Humano Dra. Sônia Bechara,MILK_BANK,Estrada do Arraial,2723,Casa Amarela,Recife,PE,52051-380,81-3184-1690,,,
Banco de Leite Humano Enfermeira Tereza Cristina de Andrade,MILK_BANK,Avenida Caxangá,3860,Iputinga,Recife,PE,50731-000,81-3184-6552,,,
Banco de Leite Humano Unimed Recife Dra. Vilneide Braga Serva,MILK_BANK,Rua Lins Petit,161,Ilha do Leite,Recife,PE,50070-230,81-3413-7935,,,
Banco de Leite Humano e Centro de Incentivo ao Aleitamento Materno do IMIP,MILK_BANK,Rua dos Coelhos,300,Boa Vista,Recife,PE,50070-550,81-2122-4719,,,
PCLH - Policlínica e Maternidade Professor Arnaldo Marques,COLLECTION_POINT,Av. Dois Rios,,Ibura,Recife,PE,51230-000,81-3355-1815,,,
Posto de Coleta de Leite Humano da Policlínica e Maternidade Prof. Barros Lima,COLLECTION_POINT,Estrada do Arraial,2723,Casa Amarela,Recife,PE,52051-380,,,,
Posto de Coleta do Hospital da Mulher do Agreste - HMA,COLLECTION_POINT,Av. José Rodrigues de Jesus,396,Santa Rosa,Caruaru,PE,50751-530,,,,
Posto de Coleta Dr. José Leôncio de Carvalho Neto,COLLECTION_POINT,Av. Dr. Júlio Maranhão,911,Prazeres,Jaboatão dos Guararapes,PE,54340-740,81-3461-5300,,,
