name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano de Foz do Iguaçu,MILK_BANK,Avenida Gramado,763,Vila A,Foz do Iguaçu,PR,85860-460,45-3031-4500,,,
Banco de Leite Humano do Hospital da Providência / HPMI,MILK_BANK,Rua Rio Branco,518,Centro,Apucarana,PR,86800-120,43-3420-1479,,,
Banco de Leite Humano do Hospital de Clínicas da Universidade Federal do Paraná,MILK_BANK,Rua General Carneiro,181,Alto da Glória,Curitiba,PR,80060-900,41-3360-1867,,,
Banco de Leite Humano do Hospital do Trabalhador,MILK_BANK,Rua Isaac Guelmann,501,Novo Mundo,Curitiba,PR,81050-030,41-3212-5714,,,
Banco de Leite Humano do Hospital e Maternidade São José dos Pinhais,MILK_BANK,Rua Coronel Luiz Victorino Ordine,1747,São Pedro,São José dos Pinhais,PR,83005-040,41-3283-5280,,,
Banco de Leite Humano do Hospital Santa Casa de Campo Mourão,MILK_BANK,Rodovia PR-558,,Área Urbanizada,Campo Mourão,PR,87302-215,44-98848-5765,,,Saída para Araruna.
Banco de Leite Humano do Hospital Universitário do Oeste do Paraná,MILK_BANK,Avenida Tancredo Neves,3224,Santo Onofre,Cascavel,PR,85806-470,45-3321-5243,,,
Banco de Leite Humano do Hospital Universitário Evangélico Mackenzie,MILK_BANK,Alameda Augusto Stellfeld,1908,Bigorrilho,Curitiba,PR,80730-150,41-3240-5117,,,
Banco de Leite Humano do Hospital Universitário Materno Infantil - Ponta Grossa,MILK_BANK,Rua Augusto Ribas,81,Centro,Ponta Grossa,PR,84035-000,42-3311-8414,,,
Banco de Leite Humano do Hospital Universitário Regional de Maringá,MILK_BANK,Avenida Mandacarú,1590,Jardim Parque das Laranjeiras,Maringá,PR,87083-240,44-3011-9174,,,
Banco de Leite Humano Dr. Jorge Nisiide,MILK_BANK,Rua Almirante Barroso,2193,Centro,Toledo,PR,85900-020,45-2103-2013,,,
Banco de Leite Humano Norospar,MILK_BANK,Avenida Ipiranga,3883,Centro,Umuarama,PR,87501-310,44-3621-1299,,,
Banco de Leite Humano São Lucas,MILK_BANK,Rua Dr. Silvio Vidal,175,Pato Branco,Pato Branco,PR,85501-010,46-3220-3509,,,
Banco de Leite Humano São Vicente de Paulo,MILK_BANK,Rua Marechal Floriano Peixoto,1059,Centro,Guarapuava,PR,85010-250,42-3035-8374,,,
Banco de Leite Humano Maria Lucilia Monti Magalhães,MILK_BANK,Avenida Robert Koch,60,Vila Operária,Londrina,PR,86038-350,43-3371-2629,,,
APMI - Associação de Proteção Materno Infantil de Jandaia do Sul,COLLECTION_POINT,Rua Nova Avenida,15,Jardim Planalto,Jandaia do Sul,PR,86900-000,43-99962-7799,,,
PCLH - Hospital São Lucas FAG,COLLECTION_POINT,Rua Engenheiro Rebouças,2119,Centro,Cascavel,PR,85812-130,45-3219-6464,,,
PCLH - Irmandade Santa Casa de Misericórdia de Maringá,COLLECTION_POINT,Rua Santos Dumont,555,Zona 03,Maringá,PR,87050-100,44-3027-5633,,,
PCLH - Paranavaí Acolhe seu Filho com Amor,COLLECTION_POINT,Rua Silvio Vidal,2090,Centro,Paranavaí,PR,87702-330,44-3421-1334,,,
Posto de Coleta CISAM,COLLECTION_POINT,Rua Gaturamo,950,Jardim Aeroporto,Arapongas,PR,86702-000,43-3902-1331,,,
Posto de Coleta da Maternidade Municipal Lucilla Ballalai,COLLECTION_POINT,Rua Jacob Bartolomeu Minatti,350,Centro,Londrina,PR,86010-355,43-3372-9850,,,
Posto de Coleta de Leite Humano da Casa de Misericórdia de Cornélio Procópio,COLLECTION_POINT,Avenida Nossa Senhora do Rocio,1165,Centro,Cornélio Procópio,PR,86300-000,43-3520-1600,,,
Posto de Coleta de Leite Humano da Unidade de Lactação de Cambé,COLLECTION_POINT,Rua José Gomes Redondo,35,Ana Rosa,Cambé,PR,86183-690,43-3174-0235,,,
Posto de Coleta de Leite Humano de Rolândia - UNICOAMOR,COLLECTION_POINT,Rua Duque de Caxias,331,Centro,Rolândia,PR,86600-057,43-3906-1142,,,
Posto de Coleta de Leite Humano do Hospital Bela Suíça de Londrina,COLLECTION_POINT,Avenida Adhemar Pereira de Barros,1199,Bela Suíça,Londrina,PR,86047-250,43-3305-8230,,,
Posto de Coleta de Leite Humano do Hospital Evangélico de Londrina,COLLECTION_POINT,Avenida Bandeirantes,618,Jardim Londrilar,Londrina,PR,86015-900,43-3378-1593,,,
Posto de Coleta do Hospital Pequeno Príncipe,COLLECTION_POINT,Av. Desembargador Motta,1070,Centro,Curitiba,PR,80250-060,41-3310-1174,,,
Posto de Coleta do Hospital Policlínica,COLLECTION_POINT,Rua Pedro Ramires de Mello,361,Centro,Pato Branco,PR,85501-250,46-2101-2101,,,
Posto de Coleta Hospital Policlínica Cascavel,COLLECTION_POINT,Rua Souza Naves,3145,Ciro Nardi,Cascavel,PR,85802-080,45-2101-1500,,,
Posto de Coleta Hospital Regional do Sudoeste,COLLECTION_POINT,Rodovia Contorno Leste,200,Água Branca,Francisco Beltrão,PR,85601-839,46-3199-1744,,,
Posto de Coleta HPMI,COLLECTION_POINT,Rua Rio Branco,435,Centro,Apucarana,PR,86800-120,43-3420-1479,,,
Posto de Coleta Santa Terezinha de Itaipu,COLLECTION_POINT,Rua Renato Montemezzo,591,Centro,Santa Terezinha de Itaipu,PR,85875-000,45-3541-1149,,,
Unidade Básica Nossa Senhora Aparecida,COLLECTION_POINT,Rua Carlos Amoretty Osório,169,Sítio Cercado,Curitiba,PR,81920-410,41-3289-4311,,,
Unidade de Saúde da Mulher e da Criança,COLLECTION_POINT,Rua Ásia,85,Centro,Pinhais,PR,83323-350,,,,
