name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano da Maternidade Leila Diniz,MILK_BANK,Av. Ayrton Senna,2000,Barra da Tijuca,Rio de Janeiro,RJ,22793-000,21-3111-4708,,,
Banco de Leite Humano do Hospital da Mulher Heloneida Studart,MILK_BANK,Av. Automóvel Clube,Lote 1745,Jardim José Bonifácio,São João de Meriti,RJ,25565-171,21-2651-9618,,,
Banco de Leite Humano do Hospital dos Plantadores de Cana,MILK_BANK,Avenida Dr. José Alves de Azevedo,337,Parque Rosário,Campos dos Goytacazes,RJ,28025-496,22-2737-7431,,,
Banco de Leite Humano do Hospital Federal dos Servidores do Estado,MILK_BANK,Rua Sacadura Cabral,178,Centro,Rio de Janeiro,RJ,20221-161,21-2291-3131,,,
Banco de Leite Humano do Hospital Maternidade Alexander Fleming,MILK_BANK,Rua Jorge Schimidt,331,Marechal Hermes,Rio de Janeiro,RJ,21610-645,21-2458-1595,,,
Banco de Leite Humano do Hospital Maternidade Carmela Dutra,MILK_BANK,Rua Aquidabã,1037,Lins de Vasconcelos,Rio de Janeiro,RJ,20720-292,21-3111-6625,,,
Banco de Leite Humano do Hospital Maternidade Dr. Mário Dutra de Castro,MILK_BANK,Travessa Antônio Fernandes Moreira,12,Centro,Nova Friburgo,RJ,28610-410,22-2522-9345,,,
Banco de Leite Humano do Hospital Maternidade Herculano Pinheiro,MILK_BANK,Avenida Ministro Edgar Romero,276,Madureira,Rio de Janeiro,RJ,20211-360,21-2458-8607,,,
Banco de Leite Humano do Hospital Municipal Alcides Carneiro - Petrópolis,MILK_BANK,Rua Vigário Corrêa,1345,Corrêas,Petrópolis,RJ,25720-320,24-2236-6600,,,
Banco de Leite Humano do Hospital São João Batista,MILK_BANK,Rua Nossa Senhora das Graças,235,São Geraldo,Volta Redonda,RJ,27253-619,24-3512-8348,,,
Banco de Leite Humano do Hospital Unimed Petrópolis,MILK_BANK,Rua dos Expedicionários,144,Bingen,Petrópolis,RJ,25660-290,24-2291-9846,,,
Banco de Leite Humano do Núcleo Perinatal,MILK_BANK,Rua Manuel de Abreu,500,Vila Isabel,Rio de Janeiro,RJ,20550-170,21-2868-8208,,,
Banco de Leite Humano Enfermeira Margareth Magalhães Costa e Silva,MILK_BANK,Avenida Washington Luiz - BR-040 km 109,,Jardim Primavera,Duque de Caxias,RJ,25211-970,21-96548-4181,,,
Banco de Leite Humano Hospital da Mulher Mariska Ribeiro,MILK_BANK,Praça Primeiro de Maio,,Bangu,Rio de Janeiro,RJ,21830-006,21-2042-2912,,,
Banco de Leite Humano Maria Leonor Inocêncio Soares,MILK_BANK,Avenida Cesário de Melo,3215,Campo Grande,Rio de Janeiro,RJ,23050-100,21-2088-4500,,,
Banco de Leite Humano Profa. Heloísa Helena Laxe de Paula,MILK_BANK,Rua Marques de Paraná,303,Centro,Niterói,RJ,24033-900,21-2629-9026,,,
Banco de Leite Humano Zuleika Nunes de Alencar,MILK_BANK,Rua General José Cristino,87,São Cristóvão,Rio de Janeiro,RJ,20921-400,21-3878-2327,,,
Banco de Leite Humano do Instituto Fernandes Figueira,MILK_BANK,Av. Rui Barbosa,716,Flamengo,Rio de Janeiro,RJ,22250-020,21-2554-1703,,,
Clínica da Família Antônio Gonçalves da Silva,COLLECTION_POINT,Estrada do Engenho Novo,S/N,Bangu,Rio de Janeiro,RJ,21730-230,,,,
Clínica da Família São Sebastião,COLLECTION_POINT,Rua Monsenhor Manuel Gomes,630,São Cristóvão,Rio de Janeiro,RJ,20931-005,21-2042-3602,,,
Hospital Estadual Maternidade Mãe de Mesquita - Amor em Gotas,COLLECTION_POINT,Av. Dr. Carvalhães,400,Rocha Sobrinho,Mesquita,RJ,26572-530,21-2797-6722,,,
PCLH - Sala de Coleta do Posto de Saúde Maricá,COLLECTION_POINT,Rua Clímaco Pereira,375,Centro,Maricá,RJ,24942-395,,,,
PCLH Hospital Materno Infantil de Barra Mansa,COLLECTION_POINT,Rua Tenente José Eduardo,200,Ano Bom,Barra Mansa,RJ,27323-240,24-3324-5991,,,
PCLH Maria Amélia Buarque de Hollanda,COLLECTION_POINT,Rua Moncorvo Filho,,Centro,Rio de Janeiro,RJ,20211-340,21-2507-2989,,,
Posto de Coleta CF Barbara Mosley de Souza,COLLECTION_POINT,Av. Otávio Malta,,Anil,Rio de Janeiro,RJ,22765-820,21-2042-3660,,,
Posto de Coleta Clínica da Família Otto Alves de Carvalho,COLLECTION_POINT,Rua Engenheiro Souza Filho,200,Jacarepaguá,Rio de Janeiro,RJ,22753-039,,,,
Posto de Coleta da Perinatal Barra,COLLECTION_POINT,Av. Embaixador Abelardo Bueno,201,Barra da Tijuca,Rio de Janeiro,RJ,22775-040,21-3722-3032,,,
Posto de Coleta de Leite Humano do Hospital Central do Exército,COLLECTION_POINT,Rua Francisco Manuel,126,Triagem,Rio de Janeiro,RJ,20911-270,21-3891-7364,,,
