name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Ama Tacchini,MILK_BANK,Doutor José Mario Mônaco,358,Centro,Bento Gonçalves,RS,95700-084,54-3455-4333,,,
Banco de Leite do Hospital Geral de Caxias do Sul,MILK_BANK,Rua Professor Antônio Vignoli,255,Petrópolis,Caxias do Sul,RS,95070-561,54-3218-7856,,,
Banco de Leite Humano do Hospital de Clínicas de Ijuí,MILK_BANK,Avenida David José Martins,152,Centro,Ijuí,RS,98700-000,55-3331-9324,,,
Banco de Leite Humano do Hospital de Clínicas de Porto Alegre,MILK_BANK,Rua Ramiro Barcelos,2350,Bomfim,Porto Alegre,RS,90035-003,51-3359-8161,,,
Banco de Leite Humano do Hospital Fêmina,MILK_BANK,Av. Mostardeiro,17,Moinhos de Vento,Porto Alegre,RS,90430-001,51-3314-5362,,,
Banco de Leite Humano do Hospital Materno Infantil Presidente Vargas,MILK_BANK,Avenida Independência,661,Centro,Porto Alegre,RS,90035-076,51-3289-3334,,,
Banco de Leite Humano do Hospital Santo Ângelo,MILK_BANK,Rua Antônio Manoel,701,Centro,Santo Ângelo,RS,98801-690,55-3313-2000,,,
Banco de Leite Humano do Hospital Universitário Dr. Miguel Riet Corrêa Jr.,MILK_BANK,Rua Visconde de Paranaguá,102,Centro,Rio Grande,RS,96203-900,53-3233-8880,,,
Banco de Leite Humano do Hospital Vida & Saúde,MILK_BANK,Doutor Francisco Timm,656,Centro,Santa Rosa,RS,98780-803,55-3512-5050,,,
Banco de Leite Humano Santa Casa de Bagé,MILK_BANK,Rua Gomes Carneiro,1350,Centro,Bagé,RS,96400-130,53-3240-3200,,,
Banco de Leite Humano da Irmandade da Santa Casa de Misericórdia de Porto Alegre,MILK_BANK,Rua Professor Annes Dias,295,Centro,Porto Alegre,RS,90020-090,51-3214-8284,,,
PCLH - Hospital Criança Conceição,COLLECTION_POINT,Av. Francisco Trein,596,Cristo Redentor,Porto Alegre,RS,91350-200,51-3357-2920,,,
Posto de Coleta AMA,COLLECTION_POINT,Av. Presidente Kennedy,343,Aurora,Carlos Barbosa,RS,95185-000,54-3461-9262,,,
Posto de Coleta de Leite Humano - Hospital Unimed Noroeste,COLLECTION_POINT,Rua Pedro Hamarstron,287,Centro,Ijuí,RS,98700-000,,,,
Posto de Coleta de Leite Humano do Hospital Escola UFPel/Ebserh,COLLECTION_POINT,Professor Dr. Araújo,358,Centro,Pelotas,RS,96020-360,53-3284-4900,,,
Posto de Coleta de Leite Humano do Hospital Santa Cruz,COLLECTION_POINT,Rua Fernando Abott,174,Centro,Santa Cruz do Sul,RS,96810-072,51-3713-7400,,,
Posto de Coleta de Leite Humano Hospital Bruno Born,COLLECTION_POINT,Av. Benjamin Constant,881,Centro,Lajeado,RS,95900-000,51-3714-7536,,,
Posto de Coleta de Leite Humano Hospital Divina Providência,COLLECTION_POINT,Rua da Gruta,145,Cascata,Porto Alegre,RS,91712-160,51-3320-6032,,,
Posto de Coleta de Leite Humano Hospital Estrela,COLLECTION_POINT,Rua Geraldo Pereira,405,Centro,Estrela,RS,95880-000,51-3712-5500,,,
Posto de Coleta de Leite Humano Hospital Moinhos de Vento,COLLECTION_POINT,Rua Ramiro Barcelos,910,Moinhos de Vento,Porto Alegre,RS,90035-000,51-3314-3116,,,
Posto de Coleta HUSFP / UCPel,COLLECTION_POINT,Marechal Deodoro,1123,Centro,Pelotas,RS,96020-220,53-2128-8300,,,
