name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano Alimente uma Vida - Maternidade D. Catarina Kuss,MILK_BANK,Rua Brasílio Celestino de Oliveira,209,Centro,Mafra,SC,89300-000,47-3641-4800,,,
Banco de Leite Humano de Blumenau,MILK_BANK,Rua Dois de Setembro,1212,Itoupava Norte,Blumenau,SC,89052-000,47-3381-7570,,,
Banco de Leite Humano do Hospital e Maternidade Marieta Konder Bornhausen,MILK_BANK,Avenida Marcos Konder,1111,Centro,Itajaí,SC,88301-303,47-3249-9400,,,
Banco de Leite Humano do Hospital e Maternidade Teresa Ramos,MILK_BANK,Rua Marechal Deodoro,799,Centro,Lages,SC,88501-001,49-3289-9040,,,
Banco de Leite Humano do Hospital Hélio Anjos Ortiz,MILK_BANK,Altino Gonçalves de Farias,1832,São Francisco,Curitibanos,SC,89520-000,49-3245-4600,,,
Banco de Leite Humano do Hospital Infantil Joana de Gusmão,MILK_BANK,Rua Rui Barbosa,152,Agronômica,Florianópolis,SC,88025-301,48-3251-9141,,,
Banco de Leite Humano do Hospital Jaraguá,MILK_BANK,Rua dos Motoristas de 1936,120,Czerniewicz,Jaraguá do Sul,SC,89255-060,47-3274-3053,,,
Banco de Leite Humano do Hospital Nossa Senhora da Conceição,MILK_BANK,Rua Vidal Ramos,215,Centro,Tubarão,SC,88701-160,48-3631-7149,,,
Banco de Leite Humano do Hospital Regional de São José Dr. Homero de Miranda Gomes,MILK_BANK,Rua Adolfo Donato da Silva,S/N,Praia Comprida,São José,SC,88103-901,48-3664-9784,,,
Banco de Leite Humano do Hospital São Francisco,MILK_BANK,Rua Marechal Deodoro,915,Centro,Concórdia,SC,89700-001,49-3441-4647,,,
Banco de Leite Humano Doutor Dino Gorini,MILK_BANK,Wenceslau Braz,1015,Operária Nova,Criciúma,SC,88809-020,48-3512-2137,,,
Banco de Leite Humano e Central de Informações de Aleitamento Materno - CIAM,MILK_BANK,Rua Irmã Benwarda,208,Centro,Florianópolis,SC,88015-270,48-3664-3920,,,
Banco de Leite Humano Hospital Regional do Oeste - Chapecó,MILK_BANK,Rua Florianópolis,1448 E,Santa Maria,Chapecó,SC,89812-505,49-3321-6576,,,
Banco de Leite Humano Sr. Klaus Schumacher,MILK_BANK,Rua Fritz Klostermann,403,Bairro Alegre,Rio Negrinho,SC,89295-000,47-98870-3670,,,
Banco de Leite Humano da Maternidade Darcy Vargas,MILK_BANK,Rua Miguel Couto,44,Anita Garibaldi,Joinville,SC,89202-190,47-3461-5704,,,
ESF Central,COLLECTION_POINT,Rua Alfredo Fernandes Luiz,S/N,Centro,Itaiópolis,SC,89340-000,47-3652-1676,,,
Gotas de Ouro,COLLECTION_POINT,Rua João Manoel Sardá,439,Km 02,Três Barras,SC,89490-000,47-3623-0201,,,
Núcleo de Apoio ao Aleitamento Materno,COLLECTION_POINT,Rua México,916,Nações,Balneário Camboriú,SC,88338-223,47-3261-6218,,,
PCLH - Amamenta Brusque,COLLECTION_POINT,Rua Germano Schaefer,66,Centro,Brusque,SC,88350-170,47-3255-6840,,,
PCLH - Centro de Incentivo ao Aleitamento Hospital Santo Antônio,COLLECTION_POINT,Rua Itajaí,545,Vorstadt,Blumenau,SC,89015-207,,,,
Posto de Coleta da Policlínica da Mulher e da Criança,COLLECTION_POINT,Rua Esteves Júnior,89,Centro,Florianópolis,SC,88015-130,48-3240-5525,,,
Posto de Coleta de Leite Humano - Unimed Chapecó,COLLECTION_POINT,Avenida General Osório,460,Centro,Chapecó,SC,89801-130,,,,
Posto de Coleta de Leite Humano CHU,COLLECTION_POINT,Rua Orestes Guimarães,905,América,Joinville,SC,89204-060,47-3441-9818,,,
Posto de Coleta de Leite Humano do Hospital Infantil Jeser Amarante Faria,COLLECTION_POINT,Rua Araranguá,555,América,Joinville,SC,89204-310,47-3145-1600,,,
Posto de Coleta de Leite Humano do Hospital Santa Cruz de Canoinhas,COLLECTION_POINT,Rua João da Cruz Krainling,1050,Centro,Canoinhas,SC,89460-000,47-3622-3333,,,
Posto de Coleta do Hospital e Maternidade Sagrada Família,COLLECTION_POINT,Rua Henrique Schwarz,10,Centro,São Bento do Sul,SC,89280-118,47-3631-0200,,,
Posto de Coleta Hospital Universitário Polydoro Ernani de São Thiago,COLLECTION_POINT,Rua Professora Maria Flora Pausewang,108,Trindade,Florianópolis,SC,88036-800,48-3721-3140,,,
