name,type,address_street,address_number,address_neighborhood,address_city,address_state,address_zip,phone,whatsapp,opening_hours,instructions
Banco de Leite Humano Cachoeirinha,MILK_BANK,Avenida Deputado Emílio Carlos,3100,Cachoeirinha,São Paulo,SP,02720-200,11-3986-1011,,,
Banco de Leite Humano Ceami de Caraguatatuba,MILK_BANK,Avenida Maranhão,451,Jardim Primavera,Caraguatatuba,SP,11660-690,12-3897-2100,,,
Banco de Leite Humano Centro de Lactação da Maternidade de Campinas,MILK_BANK,Avenida Orozimbo Maia,165,Vila Itapura,Campinas,SP,13023-910,19-3306-6039,,,
Banco de Leite Humano da Irmandade de Misericórdia do Jaú,MILK_BANK,Rua Riachuelo,1073,Centro,Jaú,SP,17201-340,14-3602-3368,,,
Banco de Leite Humano da Santa Casa de Franca,MILK_BANK,Rua Padre Anchieta,1801,Centro,Franca,SP,14400-715,16-3711-4121,,,
Banco de Leite Humano da Santa Casa de Misericórdia de Itapeva,MILK_BANK,Rua Santos Dumont,433,Itapeva,Itapeva,SP,18400-030,15-3521-9500,,,
Banco de Leite Humano da Santa Casa de Penápolis,MILK_BANK,Avenida Santa Casa,566,Centro,Penápolis,SP,16300-027,18-3654-2210,,,
Banco de Leite Humano da Santa Casa de São Paulo - Hospital Central,MILK_BANK,Rua Dr. Cesário Mota Júnior,112,Vila Buarque,São Paulo,SP,01221-020,11-2176-7390,,,
Banco de Leite Humano de Araçatuba,MILK_BANK,Rua Dona Ida,1380,Aviação,Araçatuba,SP,16055-510,18-3636-1175,,,
Banco de Leite Humano de Atibaia,MILK_BANK,Rua Presidente Lincoln,44,Samambaia,Atibaia,SP,12945-040,11-4411-6787,,,
Banco de Leite Humano de Barueri,MILK_BANK,Rua Angella Mirella,354,Jardim Barueri,Barueri,SP,02992-170,11-2575-3269,,,
Banco de Leite Humano de Bauru,MILK_BANK,Av. Nações Unidas,2728,Vila Nova Cidade Universitária,Bauru,SP,17012-202,14-3226-3227,,,
Banco de Leite Humano de Itapira,MILK_BANK,Rua Vitório Coppos,122,São Benedito,Itapira,SP,13976-024,19-3913-9231,,,
Banco de Leite Humano de Jundiaí,MILK_BANK,Rua Ragusa,54,Jardim Messina,Jundiaí,SP,13207-460,11-4521-7244,,,
Banco de Leite Humano de Lins,MILK_BANK,Rua Deolinda Alves Murad,40,Vila Ester,Lins,SP,16403-105,14-3529-1137,,,
Banco de Leite Humano de Marília - Dr. Cleyde Moerbeck Casadei,MILK_BANK,Rua XV de Novembro,50,Barbosa,Marília,SP,17501-450,14-3413-8696,,,
Banco de Leite Humano de Mogi das Cruzes,MILK_BANK,Rua Barão de Jaceguai,1148,Centro,Mogi das Cruzes,SP,08780-906,11-4798-7343,,,
Banco de Leite Humano de Ourinhos,MILK_BANK,Rua Dom Pedro I,719,Vila Moraes,Ourinhos,SP,19900-241,14-3324-2203,,,
Banco de Leite Humano de Presidente Prudente,MILK_BANK,Avenida Hiroshi Yoshio,S/N,Jardim Esplanada,Presidente Prudente,SP,19061-395,18-3229-1249,,,
Banco de Leite Humano de São José do Rio Preto,MILK_BANK,Avenida Philadelpho Manoel Gouveia Neto,1900,Jardim Caparroz,São José do Rio Preto,SP,15030-790,17-3214-3422,,,
Banco de Leite Humano de São Sebastião,MILK_BANK,Rua Antonio Pereira da Silva,280,Topolândia,São Sebastião,SP,11610-172,12-3891-4959,,,
Banco de Leite Humano de Votuporanga,MILK_BANK,Rua Antonio Galera Lopes,2630,Pozzobon,Votuporanga,SP,15505-171,17-3421-9499,,,
Banco de Leite Humano do CAISM - UNICAMP,MILK_BANK,Rua Alexander Fleming,101,Cidade Universitária,Campinas,SP,13083-881,19-99609-5879,,,
Banco de Leite Humano do Conjunto Hospitalar de Sorocaba,MILK_BANK,Rua Claudio Manoel da Costa,265,Jardim Vergueiro,Sorocaba,SP,18030-083,15-3332-9405,,,
Banco de Leite Humano do Hospital da Mulher em São Bernardo do Campo,MILK_BANK,Avenida Imperador Pedro II,216,Nova Petrópolis,São Bernardo do Campo,SP,09770-420,11-2663-3911,,,
Banco de Leite Humano do Hospital do Servidor Público Estadual,MILK_BANK,Rua Pedro de Toledo,1800,Vila Clementino,São Paulo,SP,04039-004,11-4573-8172,,,
Banco de Leite Humano do Hospital e Maternidade Santa Joana,MILK_BANK,Rua Dr. Eduardo Amaro,157,Paraíso,São Paulo,SP,04104-080,11-5080-6062,,,
Banco de Leite Humano do Hospital Geral de Itapecerica da Serra,MILK_BANK,Avenida Guacy Fernandes Domingues,200,Embu-Mirim,Itapecerica da Serra,SP,06854-000,11-4668-8988,,,
Banco de Leite Humano do Hospital Geral de Pedreira,MILK_BANK,Rua João Francisco de Moura,251,Vila Campo Grande,São Paulo,SP,04455-170,11-5613-5900,,,
Banco de Leite Humano do Hospital Ipiranga,MILK_BANK,Avenida Nazaré,28,Ipiranga,São Paulo,SP,04262-000,11-2067-7866,,,
Banco de Leite Humano do Hospital Israelita Albert Einstein,MILK_BANK,Avenida Albert Einstein,627,Morumbi,São Paulo,SP,05651-901,11-2151-2734,,,
Banco de Leite Humano do Hospital Maternidade Interlagos Waldemar Seyssel - Arrelia,MILK_BANK,Rua Guaiuba,312,Cidade Dutra,São Paulo,SP,04810-110,11-5669-1891,,,
Banco de Leite Humano do Hospital Municipal de Peruíbe,MILK_BANK,Rua Rosa Gatti Fortuna,80,Centro,Peruíbe,SP,11750-000,13-3451-3044,,,
Banco de Leite Humano do Hospital Municipal do Campo Limpo,MILK_BANK,Estrada de Itapecerica,1661,Vila Maracanã,São Paulo,SP,05835-005,11-5178-2509,,,
Banco de Leite Humano do Hospital Municipal Dr. José de Carvalho Florence,MILK_BANK,Rua Saigiro Nakamura,800,Vila Industrial,São José dos Campos,SP,12220-280,12-3901-3507,,,
Banco de Leite Humano do Hospital Municipal e Maternidade Amador Aguiar,MILK_BANK,Avenida Getúlio Vargas,1260,Jardim Piratininga,Osasco,SP,06233-020,11-2183-3449,,,
Banco de Leite Humano do Hospital Municipal Prof. Dr. Alípio Correa Netto,MILK_BANK,Ala Rodrigo de Brum,1989,Ermelino Matarazzo,São Paulo,SP,03807-230,11-3394-8046,,,
Banco de Leite Humano do Hospital Padre Albino,MILK_BANK,Rua Belém,519,Centro,Catanduva,SP,15800-280,17-3531-3000,,,
Banco de Leite Humano do Hospital Regional de Assis,MILK_BANK,Praça Symphrónio Alves Santos,S/N,Centro,Assis,SP,19814-015,18-3302-6067,,,
Banco de Leite Humano do Hospital Regional de Cotia - SECONCI,MILK_BANK,Avenida Dr. Odair Pedroso,171,Monte Santo,Cotia,SP,06717-200,11-4148-9070,,,
Banco de Leite Humano do Hospital São Paulo - HU/UNIFESP,MILK_BANK,Rua dos Otonis,683,Vila Clementino,São Paulo,SP,04037-001,11-5576-4891,,,
Banco de Leite Humano do Hospital Universitário da USP,MILK_BANK,Avenida Professor Lineu Prestes,2565,Cidade Universitária,São Paulo,SP,05508-900,11-3091-9210,,,
Banco de Leite Humano Dona Maria Lúcia Alckimin,MILK_BANK,Rua Dr. Henrique Calderazzo,321,Paraíso,Santo André,SP,09190-615,11-2829-5021,,,
Banco de Leite Humano Dr. José Eduardo Ungari,MILK_BANK,Rua Paulino Botelho de Abreu Sampaio,588,Jardim Pureza,São Carlos,SP,13561-060,16-3509-1175,,,
Banco de Leite Humano Dr. Olindo de Luca,MILK_BANK,Avenida Antonio Ometto,675,Vila Cláudia,Limeira,SP,13480-470,19-3446-6100,,,
Banco de Leite Humano Gabriela Andrade,MILK_BANK,Rua Francisco Octávio Pacca,180,Parque das Nações,São Paulo,SP,04822-030,11-3544-9444,,,
Banco de Leite Humano Keiko Miyasaki Teruya,MILK_BANK,Rua Doutor Oswaldo Cruz,197,Boqueirão,Santos,SP,11045-101,13-3202-1323,,,
Banco de Leite Humano Maria Aparecida Pinheiro,MILK_BANK,Rua América do Sul,285,Parque Novo Oratório,Santo André,SP,09270-410,11-4478-5027,,,
Banco de Leite Humano Maria Aparecida Polastri Hartung,MILK_BANK,Rua 2,297,Centro,Rio Claro,SP,13500-010,19-3535-7024,,,
Banco de Leite Humano Maria Gessy Cardoso Ribeiro,MILK_BANK,Avenida Barão de Valença,716,Vila Rezende,Piracicaba,SP,13405-233,19-3403-2820,,,
Banco de Leite Humano Marineuza Nunes de Souza,MILK_BANK,Campus Botucatu - Av. Prof. Montenegro,S/N,Distrito de Rubião Júnior,Botucatu,SP,18618-687,14-3811-6410,,,
Banco de Leite Humano Maternidade São Luiz Star,MILK_BANK,Rua Helena,29,Vila Olímpia,São Paulo,SP,04552-050,11-2121-1349,,,
Banco de Leite Humano Municipal de Guarulhos,MILK_BANK,Travessa Orsi,47,Vila Pedro Moreira,Guarulhos,SP,07020-180,11-2408-4991,,,
Banco de Leite Humano Nossa Senhora de Chartres,MILK_BANK,Rua Manoel Ferreira Damião,426,Vila Abarca,Tupã,SP,17601-901,14-3404-5555,,,
Banco de Leite Humano Rede Dor São Luiz - Unidade Anália Franco,MILK_BANK,Rua Francisco Marengo,1312,Tatuapé,São Paulo,SP,03313-000,11-3386-1315,,,
